"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Delete exercise","LMS service","Thu Aug 14 19:16:41 GMT 2025","passed","Thu Aug 14 19:16:41 GMT 2025","Delete entity","Exercises","",""
"","23","Create exercise","LMS service","Thu Aug 14 19:16:39 GMT 2025","passed","Thu Aug 14 19:16:39 GMT 2025","Create entity","Exercises","",""
"","536","Create user","LMS service","Thu Aug 14 19:16:45 GMT 2025","passed","Thu Aug 14 19:16:45 GMT 2025","Create entity","Users","",""
"","268","Get file with incorrect file id","LMS service","Thu Aug 14 19:16:45 GMT 2025","passed","Thu Aug 14 19:16:45 GMT 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Thu Aug 14 19:16:37 GMT 2025","passed","Thu Aug 14 19:16:37 GMT 2025","Get entities","Courses","",""
"","551","Login with correct email and password","LMS service","Thu Aug 14 19:16:37 GMT 2025","passed","Thu Aug 14 19:16:37 GMT 2025","Login","Authentication","",""
"","23","Delete file","LMS service","Thu Aug 14 19:16:45 GMT 2025","passed","Thu Aug 14 19:16:45 GMT 2025","Delete entity","Files","",""
"","560","Create user","LMS service","Thu Aug 14 19:16:45 GMT 2025","passed","Thu Aug 14 19:16:46 GMT 2025","Create entity","Users","",""
"","266","Create file with empty directory","LMS service","Thu Aug 14 19:16:44 GMT 2025","passed","Thu Aug 14 19:16:44 GMT 2025","Validate entity","Files","",""
"","287","Update exercise","LMS service","Thu Aug 14 19:16:40 GMT 2025","passed","Thu Aug 14 19:16:40 GMT 2025","Update entity","Exercises","",""
"","34","Create course","LMS service","Thu Aug 14 19:16:38 GMT 2025","passed","Thu Aug 14 19:16:38 GMT 2025","Create entity","Courses","",""
"","13","Get file","LMS service","Thu Aug 14 19:16:43 GMT 2025","passed","Thu Aug 14 19:16:43 GMT 2025","Get entity","Files","",""
"","19","Get exercises","LMS service","Thu Aug 14 19:16:42 GMT 2025","passed","Thu Aug 14 19:16:42 GMT 2025","Get entities","Exercises","",""
"","301","Update course","LMS service","Thu Aug 14 19:16:38 GMT 2025","passed","Thu Aug 14 19:16:39 GMT 2025","Update entity","Courses","",""
"","19","Get exercise","LMS service","Thu Aug 14 19:16:40 GMT 2025","passed","Thu Aug 14 19:16:40 GMT 2025","Get entity","Exercises","",""
"","267","Create file","LMS service","Thu Aug 14 19:16:42 GMT 2025","passed","Thu Aug 14 19:16:42 GMT 2025","Create entity","Files","",""
"","289","Create user","LMS service","Thu Aug 14 19:16:45 GMT 2025","passed","Thu Aug 14 19:16:45 GMT 2025","Create entity","Users","",""
"","15","Get user me","LMS service","Thu Aug 14 19:16:46 GMT 2025","passed","Thu Aug 14 19:16:46 GMT 2025","Get entity","Users","",""
"","263","Create file with empty filename","LMS service","Thu Aug 14 19:16:43 GMT 2025","passed","Thu Aug 14 19:16:43 GMT 2025","Validate entity","Files","",""
