"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30","Get courses","LMS service","Fri Aug 15 10:09:38 GMT 2025","passed","Fri Aug 15 10:09:38 GMT 2025","Get entities","Courses","",""
"","30","Create course","LMS service","Fri Aug 15 10:09:40 GMT 2025","passed","Fri Aug 15 10:09:40 GMT 2025","Create entity","Courses","",""
"","270","Get file with incorrect file id","LMS service","Fri Aug 15 10:09:46 GMT 2025","passed","Fri Aug 15 10:09:46 GMT 2025","Validate entity","Files","",""
"","20","Delete exercise","LMS service","Fri Aug 15 10:09:42 GMT 2025","passed","Fri Aug 15 10:09:42 GMT 2025","Delete entity","Exercises","",""
"","565","Create user","LMS service","Fri Aug 15 10:09:46 GMT 2025","passed","Fri Aug 15 10:09:47 GMT 2025","Create entity","Users","",""
"","295","Delete file","LMS service","Fri Aug 15 10:09:46 GMT 2025","passed","Fri Aug 15 10:09:46 GMT 2025","Delete entity","Files","",""
"","42","Get exercise","LMS service","Fri Aug 15 10:09:42 GMT 2025","passed","Fri Aug 15 10:09:42 GMT 2025","Get entity","Exercises","",""
"","14","Get user me","LMS service","Fri Aug 15 10:09:48 GMT 2025","passed","Fri Aug 15 10:09:48 GMT 2025","Get entity","Users","",""
"","26","Create file","LMS service","Fri Aug 15 10:09:43 GMT 2025","passed","Fri Aug 15 10:09:43 GMT 2025","Create entity","Files","",""
"","21","Update exercise","LMS service","Fri Aug 15 10:09:41 GMT 2025","passed","Fri Aug 15 10:09:41 GMT 2025","Update entity","Exercises","",""
"","25","Get exercises","LMS service","Fri Aug 15 10:09:43 GMT 2025","passed","Fri Aug 15 10:09:43 GMT 2025","Get entities","Exercises","",""
"","259","Create file with empty filename","LMS service","Fri Aug 15 10:09:44 GMT 2025","passed","Fri Aug 15 10:09:44 GMT 2025","Validate entity","Files","",""
"","549","Login with correct email and password","LMS service","Fri Aug 15 10:09:38 GMT 2025","passed","Fri Aug 15 10:09:38 GMT 2025","Login","Authentication","",""
"","264","Create file with empty directory","LMS service","Fri Aug 15 10:09:45 GMT 2025","passed","Fri Aug 15 10:09:46 GMT 2025","Validate entity","Files","",""
"","24","Create exercise","LMS service","Fri Aug 15 10:09:41 GMT 2025","passed","Fri Aug 15 10:09:41 GMT 2025","Create entity","Exercises","",""
"","34","Update course","LMS service","Fri Aug 15 10:09:40 GMT 2025","passed","Fri Aug 15 10:09:40 GMT 2025","Update entity","Courses","",""
"","15","Get file","LMS service","Fri Aug 15 10:09:44 GMT 2025","passed","Fri Aug 15 10:09:44 GMT 2025","Get entity","Files","",""
"","292","Create user","LMS service","Fri Aug 15 10:09:46 GMT 2025","passed","Fri Aug 15 10:09:47 GMT 2025","Create entity","Users","",""
"","554","Create user","LMS service","Fri Aug 15 10:09:46 GMT 2025","passed","Fri Aug 15 10:09:46 GMT 2025","Create entity","Users","",""
