"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","20","Create file with empty filename","LMS service","Thu Aug 14 15:45:59 GMT 2025","passed","Thu Aug 14 15:45:59 GMT 2025","Validate entity","Files","",""
"","31","Get courses","LMS service","Thu Aug 14 15:45:53 GMT 2025","passed","Thu Aug 14 15:45:53 GMT 2025","Get entities","Courses","",""
"","552","Login with correct email and password","LMS service","Thu Aug 14 15:45:52 GMT 2025","passed","Thu Aug 14 15:45:53 GMT 2025","Login","Authentication","",""
"","292","Create exercise","LMS service","Thu Aug 14 15:45:55 GMT 2025","passed","Thu Aug 14 15:45:55 GMT 2025","Create entity","Exercises","",""
"","559","Create user","LMS service","Thu Aug 14 15:46:01 GMT 2025","passed","Thu Aug 14 15:46:01 GMT 2025","Create entity","Users","",""
"","291","Get exercises","LMS service","Thu Aug 14 15:45:57 GMT 2025","passed","Thu Aug 14 15:45:58 GMT 2025","Get entities","Exercises","",""
"","25","Create file","LMS service","Thu Aug 14 15:45:58 GMT 2025","passed","Thu Aug 14 15:45:58 GMT 2025","Create entity","Files","",""
"","298","Delete file","LMS service","Thu Aug 14 15:46:00 GMT 2025","passed","Thu Aug 14 15:46:00 GMT 2025","Delete entity","Files","",""
"","546","Create user","LMS service","Thu Aug 14 15:46:00 GMT 2025","passed","Thu Aug 14 15:46:01 GMT 2025","Create entity","Users","",""
"","265","Get file with incorrect file id","LMS service","Thu Aug 14 15:46:01 GMT 2025","passed","Thu Aug 14 15:46:01 GMT 2025","Validate entity","Files","",""
"","21","Update exercise","LMS service","Thu Aug 14 15:45:55 GMT 2025","passed","Thu Aug 14 15:45:55 GMT 2025","Update entity","Exercises","",""
"","302","Update course","LMS service","Thu Aug 14 15:45:54 GMT 2025","passed","Thu Aug 14 15:45:54 GMT 2025","Update entity","Courses","",""
"","13","Get user me","LMS service","Thu Aug 14 15:46:02 GMT 2025","passed","Thu Aug 14 15:46:02 GMT 2025","Get entity","Users","",""
"","14","Get file","LMS service","Thu Aug 14 15:45:59 GMT 2025","passed","Thu Aug 14 15:45:59 GMT 2025","Get entity","Files","",""
"","292","Create user","LMS service","Thu Aug 14 15:46:01 GMT 2025","passed","Thu Aug 14 15:46:01 GMT 2025","Create entity","Users","",""
"","22","Delete exercise","LMS service","Thu Aug 14 15:45:57 GMT 2025","passed","Thu Aug 14 15:45:57 GMT 2025","Delete entity","Exercises","",""
"","263","Create file with empty directory","LMS service","Thu Aug 14 15:46:00 GMT 2025","passed","Thu Aug 14 15:46:00 GMT 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Thu Aug 14 15:45:54 GMT 2025","passed","Thu Aug 14 15:45:54 GMT 2025","Create entity","Courses","",""
"","292","Get exercise","LMS service","Thu Aug 14 15:45:56 GMT 2025","passed","Thu Aug 14 15:45:56 GMT 2025","Get entity","Exercises","",""
