"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","265","Create file","LMS service","Wed Aug 13 16:49:41 GMT 2025","passed","Wed Aug 13 16:49:41 GMT 2025","Create entity","Files","",""
"","548","Create user","LMS service","Wed Aug 13 16:49:44 GMT 2025","passed","Wed Aug 13 16:49:44 GMT 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Wed Aug 13 16:49:38 GMT 2025","passed","Wed Aug 13 16:49:38 GMT 2025","Create entity","Exercises","",""
"","289","Delete exercise","LMS service","Wed Aug 13 16:49:40 GMT 2025","passed","Wed Aug 13 16:49:40 GMT 2025","Delete entity","Exercises","",""
"","19","Delete file","LMS service","Wed Aug 13 16:49:44 GMT 2025","passed","Wed Aug 13 16:49:44 GMT 2025","Delete entity","Files","",""
"","29","Create course","LMS service","Wed Aug 13 16:49:37 GMT 2025","passed","Wed Aug 13 16:49:37 GMT 2025","Create entity","Courses","",""
"","18","Update exercise","LMS service","Wed Aug 13 16:49:39 GMT 2025","passed","Wed Aug 13 16:49:39 GMT 2025","Update entity","Exercises","",""
"","12","Get file","LMS service","Wed Aug 13 16:49:42 GMT 2025","passed","Wed Aug 13 16:49:42 GMT 2025","Get entity","Files","",""
"","293","Get exercise","LMS service","Wed Aug 13 16:49:39 GMT 2025","passed","Wed Aug 13 16:49:40 GMT 2025","Get entity","Exercises","",""
"","560","Create user","LMS service","Wed Aug 13 16:49:44 GMT 2025","passed","Wed Aug 13 16:49:45 GMT 2025","Create entity","Users","",""
"","28","Get courses","LMS service","Wed Aug 13 16:49:36 GMT 2025","passed","Wed Aug 13 16:49:37 GMT 2025","Get entities","Courses","",""
"","263","Get file with incorrect file id","LMS service","Wed Aug 13 16:49:44 GMT 2025","passed","Wed Aug 13 16:49:44 GMT 2025","Validate entity","Files","",""
"","12","Get user me","LMS service","Wed Aug 13 16:49:45 GMT 2025","passed","Wed Aug 13 16:49:45 GMT 2025","Get entity","Users","",""
"","264","Create file with empty directory","LMS service","Wed Aug 13 16:49:43 GMT 2025","passed","Wed Aug 13 16:49:43 GMT 2025","Validate entity","Files","",""
"","18","Get exercises","LMS service","Wed Aug 13 16:49:41 GMT 2025","passed","Wed Aug 13 16:49:41 GMT 2025","Get entities","Exercises","",""
"","559","Create user","LMS service","Wed Aug 13 16:49:44 GMT 2025","passed","Wed Aug 13 16:49:45 GMT 2025","Create entity","Users","",""
"","306","Update course","LMS service","Wed Aug 13 16:49:38 GMT 2025","passed","Wed Aug 13 16:49:38 GMT 2025","Update entity","Courses","",""
"","262","Create file with empty filename","LMS service","Wed Aug 13 16:49:42 GMT 2025","passed","Wed Aug 13 16:49:42 GMT 2025","Validate entity","Files","",""
"","284","Login with correct email and password","LMS service","Wed Aug 13 16:49:36 GMT 2025","passed","Wed Aug 13 16:49:36 GMT 2025","Login","Authentication","",""
