"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","Get file","LMS service","Thu Aug 14 19:36:26 GMT 2025","passed","Thu Aug 14 19:36:26 GMT 2025","Get entity","Files","",""
"","27","Get exercises","LMS service","Thu Aug 14 19:36:25 GMT 2025","passed","Thu Aug 14 19:36:25 GMT 2025","Get entities","Exercises","",""
"","28","Get courses","LMS service","Thu Aug 14 19:36:20 GMT 2025","passed","Thu Aug 14 19:36:20 GMT 2025","Get entities","Courses","",""
"","12","Get user me","LMS service","Thu Aug 14 19:36:29 GMT 2025","passed","Thu Aug 14 19:36:29 GMT 2025","Get entity","Users","",""
"","290","Delete file","LMS service","Thu Aug 14 19:36:27 GMT 2025","passed","Thu Aug 14 19:36:27 GMT 2025","Delete entity","Files","",""
"","22","Create exercise","LMS service","Thu Aug 14 19:36:22 GMT 2025","passed","Thu Aug 14 19:36:22 GMT 2025","Create entity","Exercises","",""
"","286","Create user","LMS service","Thu Aug 14 19:36:28 GMT 2025","passed","Thu Aug 14 19:36:28 GMT 2025","Create entity","Users","",""
"","17","Delete exercise","LMS service","Thu Aug 14 19:36:23 GMT 2025","passed","Thu Aug 14 19:36:23 GMT 2025","Delete entity","Exercises","",""
"","549","Create user","LMS service","Thu Aug 14 19:36:27 GMT 2025","passed","Thu Aug 14 19:36:28 GMT 2025","Create entity","Users","",""
"","44","Get exercise","LMS service","Thu Aug 14 19:36:23 GMT 2025","passed","Thu Aug 14 19:36:23 GMT 2025","Get entity","Exercises","",""
"","267","Get file with incorrect file id","LMS service","Thu Aug 14 19:36:27 GMT 2025","passed","Thu Aug 14 19:36:28 GMT 2025","Validate entity","Files","",""
"","28","Update course","LMS service","Thu Aug 14 19:36:21 GMT 2025","passed","Thu Aug 14 19:36:21 GMT 2025","Update entity","Courses","",""
"","28","Create file","LMS service","Thu Aug 14 19:36:25 GMT 2025","passed","Thu Aug 14 19:36:25 GMT 2025","Create entity","Files","",""
"","548","Login with correct email and password","LMS service","Thu Aug 14 19:36:19 GMT 2025","passed","Thu Aug 14 19:36:20 GMT 2025","Login","Authentication","",""
"","555","Create user","LMS service","Thu Aug 14 19:36:28 GMT 2025","passed","Thu Aug 14 19:36:28 GMT 2025","Create entity","Users","",""
"","259","Create file with empty filename","LMS service","Thu Aug 14 19:36:25 GMT 2025","passed","Thu Aug 14 19:36:26 GMT 2025","Validate entity","Files","",""
"","267","Create file with empty directory","LMS service","Thu Aug 14 19:36:27 GMT 2025","passed","Thu Aug 14 19:36:27 GMT 2025","Validate entity","Files","",""
"","21","Update exercise","LMS service","Thu Aug 14 19:36:22 GMT 2025","passed","Thu Aug 14 19:36:22 GMT 2025","Update entity","Exercises","",""
"","27","Create course","LMS service","Thu Aug 14 19:36:21 GMT 2025","passed","Thu Aug 14 19:36:21 GMT 2025","Create entity","Courses","",""
