"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","292","Update exercise","LMS service","Fri Aug 15 10:10:57 GMT 2025","passed","Fri Aug 15 10:10:57 GMT 2025","Update entity","Exercises","",""
"","15","Get file","LMS service","Fri Aug 15 10:11:00 GMT 2025","passed","Fri Aug 15 10:11:00 GMT 2025","Get entity","Files","",""
"","21","Delete file","LMS service","Fri Aug 15 10:11:02 GMT 2025","passed","Fri Aug 15 10:11:02 GMT 2025","Delete entity","Files","",""
"","15","Get exercise","LMS service","Fri Aug 15 10:10:58 GMT 2025","passed","Fri Aug 15 10:10:58 GMT 2025","Get entity","Exercises","",""
"","306","Update course","LMS service","Fri Aug 15 10:10:56 GMT 2025","passed","Fri Aug 15 10:10:56 GMT 2025","Update entity","Courses","",""
"","289","Create user","LMS service","Fri Aug 15 10:11:02 GMT 2025","passed","Fri Aug 15 10:11:03 GMT 2025","Create entity","Users","",""
"","286","Login with correct email and password","LMS service","Fri Aug 15 10:10:54 GMT 2025","passed","Fri Aug 15 10:10:54 GMT 2025","Login","Authentication","",""
"","34","Get courses","LMS service","Fri Aug 15 10:10:55 GMT 2025","passed","Fri Aug 15 10:10:55 GMT 2025","Get entities","Courses","",""
"","293","Create exercise","LMS service","Fri Aug 15 10:10:56 GMT 2025","passed","Fri Aug 15 10:10:56 GMT 2025","Create entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Fri Aug 15 10:11:00 GMT 2025","passed","Fri Aug 15 10:11:01 GMT 2025","Validate entity","Files","",""
"","530","Create user","LMS service","Fri Aug 15 10:11:02 GMT 2025","passed","Fri Aug 15 10:11:02 GMT 2025","Create entity","Users","",""
"","557","Create user","LMS service","Fri Aug 15 10:11:02 GMT 2025","passed","Fri Aug 15 10:11:03 GMT 2025","Create entity","Users","",""
"","294","Delete exercise","LMS service","Fri Aug 15 10:10:58 GMT 2025","passed","Fri Aug 15 10:10:59 GMT 2025","Delete entity","Exercises","",""
"","15","Get user me","LMS service","Fri Aug 15 10:11:04 GMT 2025","passed","Fri Aug 15 10:11:04 GMT 2025","Get entity","Users","",""
"","30","Create course","LMS service","Fri Aug 15 10:10:55 GMT 2025","passed","Fri Aug 15 10:10:55 GMT 2025","Create entity","Courses","",""
"","262","Create file with empty directory","LMS service","Fri Aug 15 10:11:01 GMT 2025","passed","Fri Aug 15 10:11:01 GMT 2025","Validate entity","Files","",""
"","266","Create file","LMS service","Fri Aug 15 10:10:59 GMT 2025","passed","Fri Aug 15 10:10:59 GMT 2025","Create entity","Files","",""
"","268","Get file with incorrect file id","LMS service","Fri Aug 15 10:11:02 GMT 2025","passed","Fri Aug 15 10:11:02 GMT 2025","Validate entity","Files","",""
"","17","Get exercises","LMS service","Fri Aug 15 10:10:59 GMT 2025","passed","Fri Aug 15 10:10:59 GMT 2025","Get entities","Exercises","",""
