"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","546","Create user","LMS service","Wed Aug 13 17:18:31 GMT 2025","passed","Wed Aug 13 17:18:31 GMT 2025","Create entity","Users","",""
"","20","Delete file","LMS service","Wed Aug 13 17:18:31 GMT 2025","passed","Wed Aug 13 17:18:31 GMT 2025","Delete entity","Files","",""
"","559","Create user","LMS service","Wed Aug 13 17:18:31 GMT 2025","passed","Wed Aug 13 17:18:32 GMT 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Wed Aug 13 17:18:33 GMT 2025","passed","Wed Aug 13 17:18:33 GMT 2025","Get entity","Users","",""
"","264","Get file with incorrect file id","LMS service","Wed Aug 13 17:18:31 GMT 2025","passed","Wed Aug 13 17:18:31 GMT 2025","Validate entity","Files","",""
"","13","Get file","LMS service","Wed Aug 13 17:18:29 GMT 2025","passed","Wed Aug 13 17:18:29 GMT 2025","Get entity","Files","",""
"","19","Update exercise","LMS service","Wed Aug 13 17:18:26 GMT 2025","passed","Wed Aug 13 17:18:26 GMT 2025","Update entity","Exercises","",""
"","264","Create file with empty directory","LMS service","Wed Aug 13 17:18:30 GMT 2025","passed","Wed Aug 13 17:18:30 GMT 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Wed Aug 13 17:18:24 GMT 2025","passed","Wed Aug 13 17:18:24 GMT 2025","Get entities","Courses","",""
"","292","Get exercise","LMS service","Wed Aug 13 17:18:26 GMT 2025","passed","Wed Aug 13 17:18:27 GMT 2025","Get entity","Exercises","",""
"","302","Update course","LMS service","Wed Aug 13 17:18:25 GMT 2025","passed","Wed Aug 13 17:18:25 GMT 2025","Update entity","Courses","",""
"","268","Create file","LMS service","Wed Aug 13 17:18:28 GMT 2025","passed","Wed Aug 13 17:18:29 GMT 2025","Create entity","Files","",""
"","292","Create exercise","LMS service","Wed Aug 13 17:18:25 GMT 2025","passed","Wed Aug 13 17:18:25 GMT 2025","Create entity","Exercises","",""
"","287","Delete exercise","LMS service","Wed Aug 13 17:18:27 GMT 2025","passed","Wed Aug 13 17:18:28 GMT 2025","Delete entity","Exercises","",""
"","560","Create user","LMS service","Wed Aug 13 17:18:31 GMT 2025","passed","Wed Aug 13 17:18:32 GMT 2025","Create entity","Users","",""
"","260","Create file with empty filename","LMS service","Wed Aug 13 17:18:29 GMT 2025","passed","Wed Aug 13 17:18:30 GMT 2025","Validate entity","Files","",""
"","14","Get exercises","LMS service","Wed Aug 13 17:18:28 GMT 2025","passed","Wed Aug 13 17:18:28 GMT 2025","Get entities","Exercises","",""
"","550","Login with correct email and password","LMS service","Wed Aug 13 17:18:23 GMT 2025","passed","Wed Aug 13 17:18:23 GMT 2025","Login","Authentication","",""
"","31","Create course","LMS service","Wed Aug 13 17:18:24 GMT 2025","passed","Wed Aug 13 17:18:24 GMT 2025","Create entity","Courses","",""
