"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","561","Create user","LMS service","Wed Aug 13 16:55:34 GMT 2025","passed","Wed Aug 13 16:55:34 GMT 2025","Create entity","Users","",""
"","25","Create exercise","LMS service","Wed Aug 13 16:55:28 GMT 2025","passed","Wed Aug 13 16:55:28 GMT 2025","Create entity","Exercises","",""
"","31","Update course","LMS service","Wed Aug 13 16:55:27 GMT 2025","passed","Wed Aug 13 16:55:27 GMT 2025","Update entity","Courses","",""
"","24","Delete file","LMS service","Wed Aug 13 16:55:33 GMT 2025","passed","Wed Aug 13 16:55:33 GMT 2025","Delete entity","Files","",""
"","30","Update exercise","LMS service","Wed Aug 13 16:55:28 GMT 2025","passed","Wed Aug 13 16:55:28 GMT 2025","Update entity","Exercises","",""
"","13","Get user me","LMS service","Wed Aug 13 16:55:35 GMT 2025","passed","Wed Aug 13 16:55:35 GMT 2025","Get entity","Users","",""
"","552","Login with correct email and password","LMS service","Wed Aug 13 16:55:25 GMT 2025","passed","Wed Aug 13 16:55:26 GMT 2025","Login","Authentication","",""
"","263","Create file with empty filename","LMS service","Wed Aug 13 16:55:31 GMT 2025","passed","Wed Aug 13 16:55:31 GMT 2025","Validate entity","Files","",""
"","30","Create course","LMS service","Wed Aug 13 16:55:27 GMT 2025","passed","Wed Aug 13 16:55:27 GMT 2025","Create entity","Courses","",""
"","260","Create file with empty directory","LMS service","Wed Aug 13 16:55:32 GMT 2025","passed","Wed Aug 13 16:55:32 GMT 2025","Validate entity","Files","",""
"","24","Get exercise","LMS service","Wed Aug 13 16:55:29 GMT 2025","passed","Wed Aug 13 16:55:29 GMT 2025","Get entity","Exercises","",""
"","289","Create user","LMS service","Wed Aug 13 16:55:34 GMT 2025","passed","Wed Aug 13 16:55:34 GMT 2025","Create entity","Users","",""
"","24","Create file","LMS service","Wed Aug 13 16:55:30 GMT 2025","passed","Wed Aug 13 16:55:30 GMT 2025","Create entity","Files","",""
"","286","Get file","LMS service","Wed Aug 13 16:55:31 GMT 2025","passed","Wed Aug 13 16:55:32 GMT 2025","Get entity","Files","",""
"","267","Get file with incorrect file id","LMS service","Wed Aug 13 16:55:33 GMT 2025","passed","Wed Aug 13 16:55:34 GMT 2025","Validate entity","Files","",""
"","28","Get courses","LMS service","Wed Aug 13 16:55:26 GMT 2025","passed","Wed Aug 13 16:55:26 GMT 2025","Get entities","Courses","",""
"","530","Create user","LMS service","Wed Aug 13 16:55:33 GMT 2025","passed","Wed Aug 13 16:55:34 GMT 2025","Create entity","Users","",""
"","21","Get exercises","LMS service","Wed Aug 13 16:55:30 GMT 2025","passed","Wed Aug 13 16:55:30 GMT 2025","Get entities","Exercises","",""
"","23","Delete exercise","LMS service","Wed Aug 13 16:55:29 GMT 2025","passed","Wed Aug 13 16:55:29 GMT 2025","Delete entity","Exercises","",""
