"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","29","Create course","LMS service","Thu Aug 14 08:40:09 GMT 2025","passed","Thu Aug 14 08:40:09 GMT 2025","Create entity","Courses","",""
"","290","Create user","LMS service","Thu Aug 14 08:40:15 GMT 2025","passed","Thu Aug 14 08:40:16 GMT 2025","Create entity","Users","",""
"","288","Get file","LMS service","Thu Aug 14 08:40:13 GMT 2025","passed","Thu Aug 14 08:40:14 GMT 2025","Get entity","Files","",""
"","24","Create exercise","LMS service","Thu Aug 14 08:40:10 GMT 2025","passed","Thu Aug 14 08:40:10 GMT 2025","Create entity","Exercises","",""
"","21","Delete exercise","LMS service","Thu Aug 14 08:40:11 GMT 2025","passed","Thu Aug 14 08:40:11 GMT 2025","Delete entity","Exercises","",""
"","262","Get file with incorrect file id","LMS service","Thu Aug 14 08:40:15 GMT 2025","passed","Thu Aug 14 08:40:15 GMT 2025","Validate entity","Files","",""
"","30","Update exercise","LMS service","Thu Aug 14 08:40:10 GMT 2025","passed","Thu Aug 14 08:40:10 GMT 2025","Update entity","Exercises","",""
"","22","Delete file","LMS service","Thu Aug 14 08:40:15 GMT 2025","passed","Thu Aug 14 08:40:15 GMT 2025","Delete entity","Files","",""
"","20","Get exercises","LMS service","Thu Aug 14 08:40:12 GMT 2025","passed","Thu Aug 14 08:40:12 GMT 2025","Get entities","Exercises","",""
"","34","Update course","LMS service","Thu Aug 14 08:40:09 GMT 2025","passed","Thu Aug 14 08:40:09 GMT 2025","Update entity","Courses","",""
"","263","Create file with empty filename","LMS service","Thu Aug 14 08:40:13 GMT 2025","passed","Thu Aug 14 08:40:13 GMT 2025","Validate entity","Files","",""
"","13","Get user me","LMS service","Thu Aug 14 08:40:17 GMT 2025","passed","Thu Aug 14 08:40:17 GMT 2025","Get entity","Users","",""
"","259","Create file with empty directory","LMS service","Thu Aug 14 08:40:14 GMT 2025","passed","Thu Aug 14 08:40:14 GMT 2025","Validate entity","Files","",""
"","532","Create user","LMS service","Thu Aug 14 08:40:15 GMT 2025","passed","Thu Aug 14 08:40:15 GMT 2025","Create entity","Users","",""
"","560","Create user","LMS service","Thu Aug 14 08:40:15 GMT 2025","passed","Thu Aug 14 08:40:16 GMT 2025","Create entity","Users","",""
"","552","Login with correct email and password","LMS service","Thu Aug 14 08:40:07 GMT 2025","passed","Thu Aug 14 08:40:07 GMT 2025","Login","Authentication","",""
"","29","Create file","LMS service","Thu Aug 14 08:40:12 GMT 2025","passed","Thu Aug 14 08:40:12 GMT 2025","Create entity","Files","",""
"","32","Get courses","LMS service","Thu Aug 14 08:40:07 GMT 2025","passed","Thu Aug 14 08:40:08 GMT 2025","Get entities","Courses","",""
"","28","Get exercise","LMS service","Thu Aug 14 08:40:11 GMT 2025","passed","Thu Aug 14 08:40:11 GMT 2025","Get entity","Exercises","",""
