"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Delete file","LMS service","Thu Aug 14 08:52:27 GMT 2025","passed","Thu Aug 14 08:52:27 GMT 2025","Delete entity","Files","",""
"","21","Get exercise","LMS service","Thu Aug 14 08:52:23 GMT 2025","passed","Thu Aug 14 08:52:23 GMT 2025","Get entity","Exercises","",""
"","561","Create user","LMS service","Thu Aug 14 08:52:27 GMT 2025","passed","Thu Aug 14 08:52:28 GMT 2025","Create entity","Users","",""
"","14","Get user me","LMS service","Thu Aug 14 08:52:29 GMT 2025","passed","Thu Aug 14 08:52:29 GMT 2025","Get entity","Users","",""
"","263","Create file","LMS service","Thu Aug 14 08:52:24 GMT 2025","passed","Thu Aug 14 08:52:25 GMT 2025","Create entity","Files","",""
"","265","Create file with empty filename","LMS service","Thu Aug 14 08:52:25 GMT 2025","passed","Thu Aug 14 08:52:26 GMT 2025","Validate entity","Files","",""
"","264","Get file with incorrect file id","LMS service","Thu Aug 14 08:52:27 GMT 2025","passed","Thu Aug 14 08:52:27 GMT 2025","Validate entity","Files","",""
"","303","Update course","LMS service","Thu Aug 14 08:52:21 GMT 2025","passed","Thu Aug 14 08:52:21 GMT 2025","Update entity","Courses","",""
"","20","Update exercise","LMS service","Thu Aug 14 08:52:22 GMT 2025","passed","Thu Aug 14 08:52:22 GMT 2025","Update entity","Exercises","",""
"","292","Create exercise","LMS service","Thu Aug 14 08:52:21 GMT 2025","passed","Thu Aug 14 08:52:21 GMT 2025","Create entity","Exercises","",""
"","547","Create user","LMS service","Thu Aug 14 08:52:27 GMT 2025","passed","Thu Aug 14 08:52:27 GMT 2025","Create entity","Users","",""
"","15","Get file","LMS service","Thu Aug 14 08:52:25 GMT 2025","passed","Thu Aug 14 08:52:25 GMT 2025","Get entity","Files","",""
"","31","Get courses","LMS service","Thu Aug 14 08:52:20 GMT 2025","passed","Thu Aug 14 08:52:20 GMT 2025","Get entities","Courses","",""
"","288","Login with correct email and password","LMS service","Thu Aug 14 08:52:19 GMT 2025","passed","Thu Aug 14 08:52:19 GMT 2025","Login","Authentication","",""
"","560","Create user","LMS service","Thu Aug 14 08:52:27 GMT 2025","passed","Thu Aug 14 08:52:28 GMT 2025","Create entity","Users","",""
"","288","Delete exercise","LMS service","Thu Aug 14 08:52:23 GMT 2025","passed","Thu Aug 14 08:52:24 GMT 2025","Delete entity","Exercises","",""
"","260","Create file with empty directory","LMS service","Thu Aug 14 08:52:26 GMT 2025","passed","Thu Aug 14 08:52:26 GMT 2025","Validate entity","Files","",""
"","18","Get exercises","LMS service","Thu Aug 14 08:52:24 GMT 2025","passed","Thu Aug 14 08:52:24 GMT 2025","Get entities","Exercises","",""
"","34","Create course","LMS service","Thu Aug 14 08:52:20 GMT 2025","passed","Thu Aug 14 08:52:20 GMT 2025","Create entity","Courses","",""
